gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,Wpec,is_tooclose,is_outlier
G024.85+00.08,,24.85019363114266,0.08744403115578879,0.176,0.016,-2.42,0.19,-5.23,0.26,111.0,5.0,38.477571443183514,-5.88941898115894,1.3338513646795436,1,0
G025.70+00.04,,25.70947641263878,0.04382484083429205,0.098,0.029,-2.89,0.11,-6.2,0.36,93.0,5.0,-11.711973756287595,-15.888795772992921,-3.6943916955781457,0,1
G027.36-00.16,,27.3650187555239,-0.16583551744408356,0.125,0.042,-1.81,0.11,-4.11,0.27,92.0,3.0,-43.06579633176354,-13.27173924123997,-0.8812999451675694,1,0
G029.86-00.04,W43S,29.86235404758307,-0.04430388038070352,0.221,0.03,-2.33,0.26,-5.47,0.31,101.0,3.0,48.50750327426718,-4.4570651618252555,-0.8699758187099196,0,1
G029.98+00.10,,29.98178690887367,0.10870528029669775,0.156,0.01,-0.94,0.32,-3.49,0.32,109.0,10.0,-61.61608430962939,14.255698822533446,-14.663492338154825,0,1
G030.19-00.16,,30.198084886374037,-0.16914209901434926,0.212,0.01,-2.08,0.22,-3.8,0.25,108.0,3.0,15.175645268281448,19.344279266165756,10.316054614986738,0,1
G030.22-00.18,,30.224560641098076,-0.18002336531163532,0.284,0.032,-0.87,0.31,-4.7,0.34,113.0,3.0,51.5855796210772,25.042557775417123,-14.6326048574368,0,1
G030.41-00.23,,30.419304146675408,-0.23203670427991155,0.253,0.021,-1.98,0.28,-4.07,0.29,103.0,3.0,34.67764468927544,16.32340914379199,5.889547300816336,0,1
G030.78+00.20,,30.788120700992007,0.2035512648483566,0.14,0.032,-1.85,0.16,-3.91,0.19,82.0,5.0,-48.964114073998665,-17.885424436794693,3.9415146901241798,0,1
G030.81-00.05,,30.817836048306496,-0.056811463681020746,0.321,0.037,-2.34,0.35,-5.66,0.35,105.0,5.0,68.0151122877913,7.477741601914772,0.7064766322475275,0,1
G032.74-00.07,,32.74399860101673,-0.07561954326359703,0.126,0.016,-3.15,0.27,-6.1,0.29,37.0,10.0,17.641287465955443,-60.642617894348945,8.715150196370818,0,1
G032.79+00.19,,32.79690274874211,0.19085880269231165,0.103,0.031,-2.94,0.24,-6.07,0.25,16.0,10.0,16.371993421105195,-75.48766762704918,1.918140039373072,0,1
G033.39+00.00,,33.39324682286976,0.009930293754734967,0.113,0.029,-2.48,0.13,-5.36,0.13,102.0,5.0,-33.9534205280473,-2.2816312994874295,-0.9569465557207142,0,1
G036.11+00.55,,36.11515249562877,0.552417516017583,0.246,0.056,-1.41,0.26,-3.76,0.27,75.0,5.0,3.159740397633455,8.756518631605474,0.46477568216567455,0,0
G037.47-00.10,,37.478995245362846,-0.10479699963239832,0.088,0.03,-2.63,0.07,-6.19,0.15,58.0,3.0,-7.343033326730922,-8.516797354860813,-14.33261547661644,0,1
G038.03-00.30,,38.03751439318483,-0.30030798376774476,0.095,0.022,-3.01,0.06,-6.2,0.11,60.0,3.0,-1.7964252385550736,0.815019094645578,0.3039338975024446,0,1
G040.62-00.13,,40.62252629485976,-0.1383352018401078,0.08,0.021,-2.69,0.09,-5.6,0.25,31.0,3.0,-16.049189554713745,-5.102837409889645,-1.851545692065903,0,1
G049.41+00.32,,49.41561779563076,0.32574685738368936,0.132,0.031,-3.15,0.17,-4.49,0.66,-12.0,5.0,-16.251204551985662,-73.03950917644053,29.65555323376708,0,1
G049.48-00.36,W51IRS2,49.48941604341323,-0.368967603608512,0.195,0.071,-2.49,0.14,-5.51,0.16,56.0,3.0,8.669647932381254,-3.521588910767804,-0.44556209452220585,0,0
G073.65+00.19,,73.65270776749108,0.19422771072774792,0.075,0.02,-2.31,0.17,-4.2,0.23,-76.0,10.0,18.91883643328325,23.719868294093203,-16.4946976053768,0,1
G074.56+00.84,IRAS20143+3634,74.5695888585289,0.8457682350457756,0.367,0.083,-3.0,0.81,-4.37,0.98,-1.0,5.0,-2.110029476678479,-15.027910522187995,8.365075092163993,0,0
G078.12+03.63,IRAS20126+4104,78.12233662267857,3.6327523931431576,0.645,0.03,-2.06,0.84,0.98,0.84,-6.0,5.0,-34.47913192129833,-17.265244662901523,23.079040668126275,0,1
